Date,Low,High,Close,Open
2023-12-29,151.03,153.89,151.94,153.1
2023-12-28,152.95,154.08,153.38,153.72
2023-12-27,153.12,154.78,153.34,153.56
2023-12-26,153.03,153.975,153.41,153.56
2023-12-22,152.71,154.35,153.42,153.77
2023-12-21,152.1,153.97,153.84,153.3
2023-12-20,151.56,155.63,152.12,152.9
2023-12-19,152.69,155.12,153.79,154.4
2023-12-18,150.05,154.855,154.07,150.56
2023-12-15,147.88,150.57,149.97,148.38
2023-12-14,145.52,150.54,147.42,149.93
2023-12-13,146.82,149.46,148.84,148.12
2023-12-12,145.3,147.5,147.48,145.52
2023-12-11,143.64,146.19,145.89,145.66
2023-12-08,145.4,147.84,147.42,145.48
2023-12-07,145.34,147.92,146.88,146.15
2023-12-06,144.28,147.85,144.52,147.58
2023-12-05,143.13,148.57,146.88,143.55
2023-12-04,142.81,145.35,144.84,145.25
2023-12-01,145.55,147.245,147.03,146.0
2023-11-30,144.332,146.93,146.09,144.76
2023-11-29,145.97,148.54,146.32,147.85
2023-11-28,145.53,147.5999,147.03,146.98
2023-11-27,146.88,149.26,147.73,147.53
2023-11-24,145.32,147.2,146.74,146.7
2023-11-22,144.57,147.74,146.71,144.57
2023-11-21,141.5,144.05,143.9,143.91
2023-11-20,144.725,146.63,146.13,145.13
2023-11-17,142.545,145.23,145.18,142.66
2023-11-16,139.52,143.32,142.83,140.91
2023-11-15,142.59,147.29,143.2,147.06
2023-11-14,144.68,147.26,145.8,145.0
2023-11-13,140.67,143.23,142.59,142.08
2023-11-10,139.91,143.65,143.56,140.46
2023-11-09,139.84,142.65,140.6,142.02
2023-11-08,141.2183,143.12,142.08,142.97
2023-11-07,140.5,143.37,142.71,140.55
2023-11-06,138.36,140.73,139.74,138.76
2023-11-03,137.45,139.49,138.6,138.99
2023-11-02,136.47,138.81,138.07,138.73
2023-11-01,133.71,137.35,137.0,133.96
2023-10-31,131.71,133.57,133.09,132.75
2023-10-30,128.56,133.0,132.71,129.72
2023-10-27,125.52,130.02,127.74,126.2
2023-10-26,118.35,121.6393,119.57,120.63
2023-10-25,120.79,126.34,121.39,126.04
2023-10-24,126.34,128.8,128.56,127.74
2023-10-23,123.98,127.88,126.56,124.63
2023-10-20,124.97,128.17,125.17,128.05
2023-10-19,127.47,132.24,128.4,130.565
2023-10-18,127.51,130.6699,128.13,129.9
2023-10-17,128.71,132.58,131.47,130.39
2023-10-16,130.425,133.07,132.55,130.69
2023-10-13,128.95,133.3145,129.79,132.98
2023-10-12,131.23,134.48,132.33,132.17
2023-10-11,129.61,132.05,131.83,129.74
2023-10-10,128.05,130.74,129.48,128.82
2023-10-09,124.76,128.79,128.26,126.22
2023-10-06,124.13,128.45,127.96,124.16
2023-10-05,124.33,126.73,125.96,126.71
2023-10-04,125.68,127.36,127.0,126.06
2023-10-03,124.2544,128.52,124.72,128.06
2023-10-02,126.54,130.47,129.46,127.28
2023-09-29,126.32,129.15,127.12,128.2
2023-09-28,123.04,126.5801,125.98,124.04
2023-09-27,124.13,127.48,125.98,125.76
2023-09-26,125.28,130.39,125.98,130.12
2023-09-25,128.77,131.78,131.27,129.36
2023-09-22,128.52,132.03,129.12,131.11
2023-09-21,129.31,132.24,129.33,131.94
2023-09-20,135.2,139.37,135.29,138.55
2023-09-19,135.56,138.84,137.63,138.7
2023-09-18,139.22,141.75,139.98,140.48
2023-09-15,140.09,143.57,140.39,142.69
2023-09-14,142.95,145.86,144.72,145.08
2023-09-13,140.865,144.98,144.85,140.95
2023-09-12,140.61,143.0,141.23,142.32
2023-09-11,138.64,143.62,143.1,138.75
2023-09-08,136.75,138.8519,138.23,136.86
2023-09-07,133.16,138.03,137.85,133.9
2023-09-06,134.61,137.45,135.36,136.32
2023-09-05,135.82,137.8,137.27,137.73
2023-09-01,136.875,139.96,138.12,139.455
2023-08-31,135.0,138.7885,138.01,135.06
2023-08-30,133.92,135.68,135.07,134.93
2023-08-29,133.25,135.14,134.91,133.38
2023-08-28,131.85,133.95,133.14,133.78
2023-08-25,130.58,133.87,133.26,132.47
2023-08-24,131.83,136.775,131.84,136.4
2023-08-23,133.22,135.95,135.52,134.5
2023-08-22,133.73,135.65,134.25,135.08
2023-08-21,132.71,135.185,134.68,133.74
2023-08-18,131.15,134.065,133.22,131.62
2023-08-17,133.53,136.085,133.98,135.46
2023-08-16,135.01,137.27,135.07,137.19
2023-08-15,137.23,141.2778,137.67,140.05
2023-08-14,137.75,140.59,140.57,138.3
2023-08-11,137.0,139.33,138.41,137.4
2023-08-10,137.49,140.41,138.56,139.075
2023-08-09,137.1,140.32,137.85,139.97
2023-08-08,138.42,140.84,139.94,140.62
2023-08-07,138.95,142.54,142.22,140.99
